Liczba Obiektów	Czas w ms	Średnia
100000	18,9807	
100000	18,2015	
100000	19,019	
100000	19,4478	
100000	17,6898	
100000	17,1977	
100000	17,1585	
100000	17,1838	
100000	17,7272	
100000	18,3939	
100000	18,5913	
100000	17,0344	
100000	16,792	
100000	16,8196	
100000	16,783	
100000	16,6846	
100000	16,6685	
100000	17,0988	
100000	16,8329	
100000	16,7121	
100000	16,7588	
100000	16,849	
100000	16,6902	
100000	16,9576	
100000	16,7459	
100000	16,9153	
100000	19,4913	
100000	16,5609	
100000	16,8859	
100000	16,6414	
100000	16,687	
100000	17,5755	
100000	16,9833	
100000	16,8237	
100000	16,8586	
100000	17,6563	
100000	17,5288	
100000	17,1948	
100000	18,0779	
100000	23,1948	
100000	17,9713	
100000	17,4796	
100000	17,3312	
100000	16,7657	
100000	17,4852	
100000	17,4931	
100000	16,6432	
100000	18,1355	
100000	17,0995	
100000	16,5471	
100000	16,9747	
100000	17,2206	
100000	17,3216	
100000	16,4589	
100000	17,3085	
100000	17,1398	
100000	17,6476	
100000	17,2272	
100000	17,2213	
100000	17,2652	
100000	16,52	
100000	16,7366	
100000	16,7897	
100000	17,2188	
100000	16,8502	
100000	17,2139	
100000	17,2427	
100000	17,5565	
100000	17,2784	
100000	17,2366	
100000	17,3709	
100000	17,0889	
100000	17,6191	
100000	17,2737	
100000	17,2472	
100000	17,2462	
100000	17,6123	
100000	16,9417	
100000	17,5092	
100000	17,2352	
100000	17,4318	
100000	16,7982	
100000	16,9838	
100000	16,9362	
100000	16,8048	
100000	16,836	
100000	16,6918	
100000	16,9039	
100000	16,7361	
100000	16,6418	
100000	16,7038	
100000	16,8311	
100000	16,718	
100000	16,7179	
100000	16,6405	
100000	16,9068	
100000	16,5964	
100000	16,842	17,25856735
1000000	204,6474	
1000000	198,8371	
1000000	199,7594	
1000000	200,6709	
1000000	200,0957	
1000000	203,4043	
1000000	203,299	
1000000	201,1025	
1000000	199,2366	
1000000	198,4743	
1000000	203,1221	
1000000	201,2668	
1000000	196,291	
1000000	200,3606	
1000000	199,4196	
1000000	198,9493	
1000000	204,0973	
1000000	206,4239	
1000000	200,6569	
1000000	201,4342	
1000000	203,2631	
1000000	196,2742	
1000000	194,9479	
1000000	197,7158	
1000000	197,6523	
1000000	193,9715	
1000000	197,1678	
1000000	194,3918	
1000000	197,1614	
1000000	198,5044	
1000000	198,6959	
1000000	200,4522	
1000000	208,8401	
1000000	203,6894	
1000000	221,4648	
1000000	203,5079	
1000000	191,5314	
1000000	198,6568	
1000000	195,6965	
1000000	196,5421	
1000000	196,2267	
1000000	192,6768	
1000000	196,7449	
1000000	205,1939	
1000000	195,7994	
1000000	191,6855	
1000000	194,1181	
1000000	196,2352	
1000000	196,3006	
1000000	196,2355	
1000000	195,1004	
1000000	193,9135	
1000000	174,872	
1000000	194,9275	
1000000	197,5545	
1000000	189,7538	
1000000	194,7018	
1000000	192,446	
1000000	196,2962	
1000000	194,0528	
1000000	194,7065	
1000000	197,6553	
1000000	193,1704	
1000000	191,5862	
1000000	196,875	
1000000	192,5597	
1000000	172,6684	
1000000	173,4709	
1000000	201,6091	
1000000	194,3399	
1000000	193,4488	
1000000	195,1589	
1000000	192,0182	
1000000	192,2376	
1000000	198,4201	
1000000	192,5754	153,755244
2000000	430,9459	
2000000	429,2886	
2000000	418,5144	
2000000	417,1028	
2000000	417,7856	
2000000	416,9327	
2000000	410,8231	
2000000	417,7613	
2000000	415,9967	
2000000	403,2132	
2000000	423,4882	
2000000	408,5386	
2000000	418,5343	
2000000	395,9429	
2000000	366,3289	
2000000	436,1106	
2000000	448,5346	
2000000	435,7555	
2000000	438,5747	
2000000	420,5289	
2000000	424,6963	
2000000	435,0665	
2000000	427,4105	
2000000	428,8456	
2000000	421,8496	
2000000	438,5117	
2000000	456,2908	
2000000	441,605	
2000000	420,9524	
2000000	420,0983	
2000000	425,9163	
2000000	455,3058	
2000000	458,9574	
2000000	446,4208	
2000000	451,3193	
2000000	437,3833	
2000000	464,4921	
2000000	430,0243	
2000000	421,8917	
2000000	412,4859	
2000000	447,6877	
2000000	442,5182	
2000000	402,2546	
2000000	445,2481	
2000000	464,6554	
2000000	429,5571	
2000000	390,7588	
2000000	460,6972	
2000000	400,1303	
2000000	440,6047	
2000000	423,1686	
2000000	386,9612	
2000000	420,1049	
2000000	459,0899	
2000000	415,9303	
2000000	457,8904	
2000000	428,745	
2000000	444,7794	
2000000	446,9196	
2000000	419,9266	
2000000	468,5593	
2000000	414,777	
2000000	426,8607	
2000000	405,7717	
2000000	413,6487	
2000000	425,0064	
2000000	424,0825	
2000000	447,0047	
2000000	444,9144	
2000000	440,7336	
2000000	435,7527	
2000000	447,939	
2000000	441,8918	
2000000	415,8177	
2000000	413,1553	
2000000	438,2014	
2000000	457,5392	
2000000	436,4506	
2000000	451,3916	
2000000	433,3539	
2000000	427,9839	
2000000	449,2708	
2000000	436,8778	
2000000	433,1902	
2000000	432,6755	
2000000	441,6051	
2000000	469,8674	
2000000	448,0082	
2000000	420,912	
2000000	418,7445	
2000000	449,5018	
2000000	477,4301	
2000000	433,5389	
2000000	437,6586	
2000000	419,4553	
2000000	408,1225	
2000000	417,4518	
2000000	412,988	
2000000	408,7251	
2000000	418,8133	430,635261
3000000	652,4545	
3000000	653,9585	
3000000	657,9137	
3000000	676,5321	
3000000	666,0069	
3000000	668,7938	
3000000	691,2594	
3000000	668,5655	
3000000	651,7763	
3000000	701,0308	
3000000	665,4529	
3000000	680,399	
3000000	677,2075	
3000000	688,8703	
3000000	672,524	
3000000	661,8838	
3000000	665,0524	
3000000	651,9925	
3000000	655,9885	
3000000	659,8984	
3000000	671,2953	
3000000	701,6764	
3000000	712,7444	
3000000	757,1946	
3000000	776,5823	
3000000	805,8865	
3000000	705,9243	
3000000	689,4102	
3000000	715,4515	
3000000	649,3107	
3000000	692,8945	
3000000	783,5612	
3000000	708,2065	
3000000	708,9309	
3000000	700,3554	
3000000	706,7539	
3000000	669,1054	
3000000	678,2673	
3000000	704,3529	
3000000	656,5106	
3000000	639,7292	
3000000	721,816	
3000000	673,0561	
3000000	633,3224	
3000000	652,2259	
3000000	647,8524	
3000000	648,6366	
3000000	656,4603	
3000000	655,3874	
3000000	675,5505	
3000000	703,2026	
3000000	740,1721	
3000000	700,833	
3000000	675,5741	
3000000	692,5962	
3000000	683,2426	
3000000	651,0946	
3000000	654,1994	
3000000	651,9095	
3000000	658,3208	
3000000	712,889	
3000000	671,8208	
3000000	673,3214	
3000000	796,2384	
3000000	736,9733	
3000000	688,1857	
